user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
judge_rupinder,,ISupportFarmers,,2021-04-12 02:28:56,False,56,Use of force and torturing farmers by Delhi police on behest of Modi is not going to work. United nations stand tog… https://t.co/HMLwB8ja2Y,2,False
hkp3003,United States,Twitter for iPhone,,2021-04-12 02:28:56,False,931,Andhbhakts are their own enemies? #DelhiPolice_TorturingFarmers,9,False
Bikramj69764422,,Twitter for iPhone,,2021-04-12 02:28:53,False,208,"One of the visuals showing the torturing mode to restrict farmers!

#DelhiPolice_TorturingFarmers https://t.co/pi7qpyKDkU",4,False
jssaini54634980,,ISupportFarmers,,2021-04-12 02:28:45,False,164,"Delhi police beating and torturing farmers on behest of BJP
#DelhiPolice_TorturingFarmers
 I support farmers! https://t.co/fgMXX8p1PT",1,False
ReshmaMajeed5,"chowkibal, jammu&kashmir",Twitter Web App,,2021-04-12 02:28:42,False,239,"We will not rest till laws are repealed!
No Farmer No Food!

#DelhiPolice_TorturingFarmers #Farmers_vs_BikauModi… https://t.co/yoOL3LQFBM",3,False
TujinderAujla,Aujla,Twitter for Android,,2021-04-12 02:28:40,False,18,"'Shameful' &amp; 'Disgusting' act by Delhi Police!

How obnoxious can Modi govt be??

Torturing &amp; thrashing the youth i… https://t.co/jQccLqHXx3",1,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:28:36,False,5,"@NauNihal2018 @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch inno… https://t.co/T9lF8rSJD6",1,False
Manniepreet,,NoFoodNoFarmer,,2021-04-12 02:28:34,False,192,"Shameful that Delhi Police allowed to torture Punjabis: Navjot Sidhu
#DelhiPolice_TorturingFarmers
 The World is Wa… https://t.co/zmRKoEsP1r",1,False
NikhilPatidarr,"Bhopal, India",Twitter for Android,,2021-04-12 02:28:32,True,176,"PM’s CROP insurance scheme is like  rest of schemes,JUMLA,On 1hand whr insurance companies have denied benefits of… https://t.co/fZFk3iuT0N",1,False
with_kaur,,Twitter for iPhone,,2021-04-12 02:28:25,False,1470,@D51184975 How cute #DelhiPolice_TorturingFarmers #FarmersProtest,2,False
HryTweet_,India,Twitter for Android,,2021-04-12 02:28:24,True,4853,This is human rights violation. Beating a farmers because he was protecting women from BJP goons… https://t.co/0cQeAley6v,15,False
SonnyJudge1,,NoFoodNoFarmer,,2021-04-12 02:28:23,False,561,Delhi police arresting people from Punjab that does belong to their jurisdiction. Is Punjab Govt sleeping?… https://t.co/xniMeZveM2,2,False
Gurpreetpb08,,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x0000017B1B495A90>, id='1dc2b546652c55dd', url='https://api.twitter.com/1.1/geo/id/1dc2b546652c55dd.json', place_type='admin', name='Punjab', full_name='Punjab, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000017B1B495A90>, type='Polygon', coordinates=[[[73.885375, 29.543882], [76.944121, 29.543882], [76.944121, 32.576396], [73.885375, 32.576396]]]), attributes={})",2021-04-12 02:28:19,True,108,"Good morning everyone ☀️

#DelhiPolice_TorturingFarmers",6,False
Manmind32406985,Earth,Twitter for Android,,2021-04-12 02:28:18,False,719,"THEY MAY KILL ME BUT THEY CANNOT KILL MY IDEAS. 
THEY MAY CRUSH MY BODY,
BUT THEY WILL NOT BE ABLE TO CRUSH MY SPIR… https://t.co/5hdmzQPVBd",7,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:28:17,False,5,"@KisaanDaPutt @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch inno… https://t.co/d5ZZ2kXGzr",1,False
masumjatt,Pata nhi,Twitter for iPhone,,2021-04-12 02:28:17,False,99,"Support farmers!!!

#DelhiPolice_TorturingFarmers https://t.co/YnaiUMikkU",1,False
SukheetJataana,Canada,NoFoodNoFarmer,,2021-04-12 02:28:12,False,494,"BJP torturing farmers through Delhi Police, says PPCC Presi
#DelhiPolice_TorturingFarmers
 Chardi Kala !! https://t.co/FzLuyYTTIZ",1,False
RaibansSingh,"Illinois, USA",Twitter for Android,,2021-04-12 02:28:07,True,79,"SPEAK YOUR MIND LOUDLY....WORLD IS LISTENING &amp;WATCHING 
#DelhiPolice_TorturingFarmers
#मोदी_नंग_किसान_तंग https://t.co/tv8YxwXUQF",1,False
NauNihal2018,,ISupportFarmers,,2021-04-12 02:28:03,False,71,"Police torture must stop. 
#DelhiPolice_TorturingFarmers
 Farmers protest peacefully https://t.co/SiRNyQKHKH",1,False
guropinder,India,Twitter for Android,,2021-04-12 02:28:01,False,82,"#DelhiPolice_TorturingFarmers
Support farmers https://t.co/ApaWWRQWB4",5,False
hkp3003,United States,Twitter for iPhone,,2021-04-12 02:27:59,False,931,I’m tweeting under the influence of...... #DelhiPolice_TorturingFarmers,27,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:27:55,False,5,"@RajDhanda17 @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch innoc… https://t.co/tH7Ic1kKnq",1,False
rajasthani03,,ISupportFarmers,,2021-04-12 02:27:51,False,23,Delhi police is helping BJP in dividing the country. Farmers are uniting the country.… https://t.co/kw2B3o3JXZ,1,False
kdhanjal12,Canada,Twitter for Android,,2021-04-12 02:27:51,True,1514,"The Holocaust illustrates the consequences of prejudice, racism and stereotyping on a society. It forces us to exam… https://t.co/5kpvKYsx8h",4,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:27:45,False,5,"@SukheetJataana @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch in… https://t.co/giGYrWBcVZ",1,False
karanvirk77,👑 ਪੰਜ-ਆਬ 👑 ⚔️Sikh Empire⚔️,Twitter for Android,,2021-04-12 02:27:41,False,992,Our freedoms are vanishing. If u do not get active to take a stand now against all that is wrong while we still can… https://t.co/krSwzjBGqp,4,False
BhagwantSandh12,,ISupportFarmers,,2021-04-12 02:27:40,False,94,This is human rights violation. Beating a farmers because he was protecting women from BJP goons… https://t.co/rgLqvPWP96,1,False
Singhfarmer1313,,Twitter for Android,,2021-04-12 02:27:39,False,178,"Detentions, Arrests, Abuse, Tortures &amp; Brutalization of protesting citizens has been done by fascist dictator regim… https://t.co/lnRyGV65h3",1,False
TutSimran,"California, 🇺🇸",Twitter for iPhone,,2021-04-12 02:27:38,False,60,"@Anu_Kaur11 @Iamjazzie96 Yes 👍 I 💯support &amp; ✊ ✌️the protesting farmers #FarmersProtest
Keep Supporting Farmers
💚 fr… https://t.co/GWE8poQNDt",4,False
HryTweet_,India,Twitter for Android,,2021-04-12 02:27:37,True,4853,All the farmers are indeed a very truthful and hard worker. We should respect their work because whatever we eat th… https://t.co/jKY6GitRHo,6,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:27:33,False,5,"@I_Mal_Ko @CPDelhi @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch… https://t.co/uAkVsEirPd",0,False
NavJammu,,Twitter for iPhone,,2021-04-12 02:27:30,True,1022,"Which section of law gives police the right to torture an accused's relatives?! 

@capt_amarinder we demand an acti… https://t.co/nXqu88J5Li",11,False
SaveOurAnndata,"Punjab, India",🦉TeleTweet,,2021-04-12 02:27:30,False,228,"Farmers are harassed by this govt either by tear gas, water canons, lathicharge,nails and barbed wire fencing on ro… https://t.co/vBsd1tSc5l",0,False
NikhilPatidarr,"Bhopal, India",Twitter for Android,,2021-04-12 02:27:29,True,176,"March on san Francisco's iconic 
Golden gate bridge is solidarity with the farmers protestors In India. Hundreds ca… https://t.co/BLkk1cktfx",1,False
kiranjattsandhu,"Portage, MI",ISupportFarmers,,2021-04-12 02:27:29,False,69,"Youth farmer Ranjit Singh reveals shocking details of police torture on him
#DelhiPolice_TorturingFarmers
 Support… https://t.co/k2zXQXNpnM",1,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:27:20,False,5,"@RaaJVinderkaur @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch in… https://t.co/ykla4y9xOe",0,False
KULVEER29653138,Hatepur,Twitter Web App,,2021-04-12 02:27:19,False,395,"We are with our Farmers. 
#DelhiPolice_TorturingFarmers",2,False
kaurraman00,,ISupportFarmers,,2021-04-12 02:27:19,False,152,"This brutality of Delhi police must stop. 
#DelhiPolice_TorturingFarmers
 Farmers against injustice. https://t.co/qTFP41EFs8",0,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:27:08,False,5,"@SonnyJudge1 @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch innoc… https://t.co/gKF5ArEgNQ",0,False
deeprana1007,,ISupportFarmers,,2021-04-12 02:27:07,False,71,"Police 'torturing' farmers in UP, Uttarakhand to stop them from joining protests: BKU
#DelhiPolice_TorturingFarmers… https://t.co/gyYzEUYLM2",0,False
ReshmaMajeed5,"chowkibal, jammu&kashmir",Twitter Web App,,2021-04-12 02:27:07,False,239,"One of the visuals showing the torturing mode to restrict farmers!

#DelhiPolice_TorturingFarmers https://t.co/tBEEsKfu45",1,False
Harj999,,Twitter for iPhone,,2021-04-12 02:27:07,False,529,"The government wants to divide us so we fail
Be aware and fight together 
Save our future 

 #DelhiPolice_TorturingFarmers

#FarmersProtest",1,False
loyal90901246,,Twitter for iPhone,,2021-04-12 02:27:06,False,467,@DelhiPolice officers who abducted Punjabi Sikh student &amp; horrifically tortured him need to be stood down @AmitShah… https://t.co/xEQVgwBexN,0,False
NindaBains,Canada,Twitter for Android,,2021-04-12 02:27:04,False,277,"This is shame for the government. 
#DelhiPolice_TorturingFarmers https://t.co/irzQbd0Bwc",2,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:26:59,False,5,"@HryTweet_ @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch innocen… https://t.co/gLlpjiagxK",0,False
dnyadav,INDIA,Twitter for Android,,2021-04-12 02:26:57,True,5859,"Our farmer’s haven’t given up the protesting. we shouldn’t give up posting, please do your part raise your voice fo… https://t.co/P2btSZd9Ii",1,False
judge_rupinder,,ISupportFarmers,,2021-04-12 02:26:57,False,56,Delhi police using force to beat the farmers. They took some farmers to jail and registered false cases on them.… https://t.co/HLXKaowXml,1,False
Navjot_nagra02,"Seattle, WA",Twitter for iPhone,,2021-04-12 02:26:54,False,168,Modi/RSS/Delhi police in desperation trying to torture &amp; intimidate farmers. Farmers standing firm and srong on the… https://t.co/eDVW31lS6B,1,False
